month_year,maxTemp,minTemp,meanTemp,vapPress,cldCover,precipitation
10/1919,11.4,4.5,7.9,9.4,76.4,83.6
11/1919,5.4,0.1,2.7,6.8,84.1,120.8
12/1919,7,1.9,4.4,7.4,86.3,177.9
01/1920,6.9,1.3,4.1,7,84.1,146.3
02/1920,8.4,2.3,5.3,7.5,77.1,99.6
03/1920,9.2,2.3,5.8,7.6,75.4,116.6
04/1920,9.9,3.8,6.9,8.6,81.9,101.5
05/1920,14.1,6.5,10.3,10.3,74.8,99
06/1920,17,8.6,12.8,12.1,72.1,64.7
07/1920,16.8,9.5,13.1,13,78.3,125.3
08/1920,16.5,9.2,12.8,12.9,76.2,77.7
09/1920,15.7,8.4,12,12.1,75.2,84.6
10/1920,13.3,6.7,9.9,11.1,77,86.1
11/1920,9.9,4.4,7.1,9.4,82.1,94.6
12/1920,6.2,1.4,3.8,7.6,88.6,113.6
01/1921,8.3,3.6,5.9,8.2,87,157
02/1921,7.4,2.1,4.7,7.7,81,29.3
03/1921,9.2,2.6,5.9,7.8,77,108.1
04/1921,11.9,3.1,7.5,8.4,66,39.6
05/1921,14.5,5.8,10.1,10,66.7,64.9
06/1921,17.7,8.4,13,11.9,66,20.7
07/1921,20.6,11,15.8,13.7,66.5,65.8
08/1921,17.4,9.7,13.5,13,74.5,111.6
09/1921,16.7,9,12.8,12.5,73.5,61.9
10/1921,15,8.2,11.6,11.5,76,93.8
11/1921,8.2,2.5,5.3,8.1,82.1,83.4
12/1921,8.6,3.2,5.9,8.2,85.7,135.4
01/1922,6,0.8,3.3,7,85,135.6
02/1922,6.9,1.2,4,7,78.9,117.9
03/1922,7.6,1.5,4.6,7.3,80.4,75.4
04/1922,8.7,1.1,4.8,7.3,73.7,90.2
05/1922,15.1,6.3,10.7,10.1,66.7,63.9
06/1922,16.3,8,12.1,11.6,72.6,55.8
07/1922,16.1,8.8,12.4,12.4,78.4,118.6
08/1922,16.1,9.1,12.6,12.7,78.7,104
09/1922,14.7,7.6,11.1,11.6,76.6,90.2
10/1922,11.3,4.6,7.9,9.5,77.2,51
11/1922,8.9,3.2,6,8.3,81.9,72.8
12/1922,7.2,2.8,4.9,8.1,90.6,133
01/1923,8,2.7,5.3,7.9,84.8,109.6
02/1923,7,2.3,4.6,7.5,84.6,160.4
03/1923,8.9,2.8,5.8,7.9,80.3,52.5
04/1923,9.9,2.9,6.4,8,76.5,82
05/1923,11.8,4.4,8.1,9,76.9,84
06/1923,15,8,11.5,11.5,80,37
07/1923,19.2,11.4,15.3,14.2,75.1,97.3
08/1923,17.5,9.8,13.6,13.2,73.6,137.4
